word_original,word_translation,word_length,word_syllables,word_usage_rank,word_level
you,,3,1,1,
i,,1,3,2,
to,,2,1,3,
the,,3,1,4,
a,,1,#N/A,5,
and,,3,1,6,
that,,4,1,7,
it,,2,1,8,
of,,2,1,9,
me,,2,1,10,
what,,4,1,11,
is,,2,1,12,
in,,2,1,13,
this,,4,1,14,
know,,4,1,15,
i'm,,3,3,16,
for,,3,1,17,
no,,2,1,18,
have,,4,1,19,
my,,2,1,20,
don't,,5,1,21,
just,,4,1,22,
not,,3,1,23,
do,,2,1,24,
be,,2,1,25,
on,,2,1,26,
your,,4,1,27,
was,,3,1,28,
we,,2,1,29,
it's,,4,1,30,
with,,4,1,31,
so,,2,1,32,
but,,3,1,33,
all,,3,1,34,
well,,4,1,35,
are,,3,1,36,
he,,2,1,37,
oh,,2,1,38,
about,,5,2,39,
right,,5,1,40,
you're,,6,1,41,
get,,3,1,42,
here,,4,1,43,
out,,3,1,44,
going,,5,2,45,
like,,4,1,46,
yeah,,4,1,47,
if,,2,1,48,
her,,3,1,49,
she,,3,1,50,
can,,3,1,51,
up,,2,1,52,
want,,4,1,53,
think,,5,1,54,
that's,,6,1,55,
now,,3,1,56,
go,,2,1,57,
him,,3,1,58,
at,,2,1,59,
how,,3,1,60,
got,,3,1,61,
there,,5,1,62,
one,,3,1,63,
did,,3,1,64,
why,,3,1,65,
see,,3,1,66,
come,,4,1,67,
good,,4,1,68,
they,,4,1,69,
really,,6,3,70,
as,,2,1,71,
would,,5,1,72,
look,,4,1,73,
when,,4,1,74,
time,,4,1,75,
will,,4,1,76,
okay,,4,2,77,
back,,4,1,78,
can't,,5,1,79,
mean,,4,1,80,
tell,,4,1,81,
i'll,,4,3,82,
from,,4,1,83,
hey,,3,1,84,
were,,4,1,85,
he's,,4,1,86,
could,,5,1,87,
didn't,,6,2,88,
yes,,3,1,89,
his,,3,1,90,
been,,4,1,91,
or,,2,1,92,
something,,9,2,93,
who,,3,1,94,
because,,7,2,95,
some,,4,1,96,
had,,3,1,97,
then,,4,1,98,
say,,3,1,99,
ok,,2,2,100,
take,,4,1,101,
an,,2,1,102,
way,,3,1,103,
us,,2,1,104,
little,,6,2,105,
make,,4,1,106,
need,,4,1,107,
gonna,,5,2,108,
never,,5,2,109,
we're,,5,1,110,
too,,3,1,111,
love,,4,1,112,
she's,,5,1,113,
i've,,4,3,114,
sure,,4,1,115,
them,,4,1,116,
more,,4,1,117,
over,,4,2,118,
our,,3,1,119,
sorry,,5,2,120,
where,,5,1,121,
what's,,6,1,122,
let,,3,1,123,
thing,,5,1,124,
am,,2,1,125,
maybe,,5,2,126,
down,,4,1,127,
man,,3,1,128,
has,,3,1,129,
uh,,2,1,130,
very,,4,2,131,
by,,2,1,132,
there's,,7,1,133,
should,,6,1,134,
anything,,8,3,135,
said,,4,1,136,
much,,4,1,137,
any,,3,2,138,
life,,4,1,139,
even,,4,2,140,
off,,3,1,141,
please,,6,1,142,
doing,,5,2,143,
thank,,5,1,144,
give,,4,1,145,
only,,4,2,146,
thought,,7,1,147,
help,,4,1,148,
two,,3,1,149,
talk,,4,1,150,
people,,6,2,151,
god,,3,1,152,
still,,5,1,153,
wait,,4,1,154,
into,,4,2,155,
find,,4,1,156,
nothing,,7,2,157,
again,,5,2,158,
things,,6,1,159,
let's,,5,1,160,
doesn't,,7,2,161,
call,,4,1,162,
told,,4,1,163,
great,,5,1,164,
before,,6,2,165,
better,,6,2,166,
ever,,4,2,167,
night,,5,1,168,
than,,4,1,169,
away,,4,2,170,
first,,5,1,171,
believe,,7,2,172,
other,,5,2,173,
feel,,4,1,174,
everything,,10,3,175,
work,,4,1,176,
you've,,6,1,177,
fine,,4,1,178,
home,,4,1,179,
after,,5,2,180,
last,,4,1,181,
these,,5,1,182,
day,,3,1,183,
keep,,4,1,184,
does,,4,1,185,
put,,3,1,186,
around,,6,2,187,
stop,,4,1,188,
they're,,7,1,189,
i'd,,3,3,190,
guy,,3,1,191,
long,,4,1,192,
isn't,,5,2,193,
always,,6,2,194,
listen,,6,2,195,
wanted,,6,2,196,
mr.,,3,4,197,
guys,,4,1,198,
huh,,3,1,199,
those,,5,1,200,
big,,3,1,201,
lot,,3,1,202,
happened,,8,2,203,
thanks,,6,1,204,
won't,,5,1,205,
trying,,6,2,206,
kind,,4,1,207,
wrong,,5,1,208,
through,,7,1,209,
talking,,7,2,210,
made,,4,1,211,
new,,3,1,212,
being,,5,2,213,
guess,,5,1,214,
hi,,2,1,215,
care,,4,1,216,
bad,,3,1,217,
mom,,3,1,218,
remember,,8,3,219,
getting,,7,2,220,
we'll,,5,1,221,
together,,8,3,222,
dad,,3,1,223,
leave,,5,1,224,
mother,,6,2,225,
place,,5,1,226,
understand,,10,3,227,
wouldn't,,8,1,228,
actually,,8,4,229,
hear,,4,1,230,
baby,,4,2,231,
nice,,4,1,232,
father,,6,2,233,
else,,4,1,234,
stay,,4,1,235,
done,,4,1,236,
wasn't,,6,2,237,
their,,5,1,238,
course,,6,1,239,
might,,5,1,240,
mind,,4,1,241,
every,,5,2,242,
enough,,6,2,243,
try,,3,1,244,
hell,,4,1,245,
came,,4,1,246,
someone,,7,2,247,
you'll,,6,1,248,
own,,3,1,249,
family,,6,3,250,
whole,,5,1,251,
another,,7,3,252,
houseæoræhouse,,14,1,253,
jackæoræjack,,12,1,254,
yourself,,8,2,255,
idea,,4,3,256,
ask,,3,1,257,
best,,4,1,258,
must,,4,1,259,
coming,,6,2,260,
old,,3,1,261,
looking,,7,2,262,
woman,,5,2,263,
hello,,5,2,264,
which,,5,1,265,
years,,5,1,266,
room,,4,1,267,
money,,5,2,268,
left,,4,1,269,
knew,,4,1,270,
tonight,,7,2,271,
real,,4,2,272,
son,,3,1,273,
hope,,4,1,274,
name,,4,1,275,
same,,4,1,276,
went,,4,1,277,
um,,2,1,278,
hmm,,3,0,279,
happy,,5,2,280,
pretty,,6,2,281,
saw,,3,1,282,
girl,,4,1,283,
sir,,3,1,284,
show,,4,1,285,
friend,,6,1,286,
already,,7,3,287,
saying,,6,2,288,
mayæoræmay,,10,1,289,
next,,4,1,290,
three,,5,1,291,
job,,3,1,292,
problem,,7,2,293,
minute,,6,2,294,
found,,5,1,295,
world,,5,1,296,
thinking,,8,2,297,
haven't,,7,2,298,
heard,,5,1,299,
honey,,5,2,300,
matter,,6,2,301,
myself,,6,2,302,
couldn't,,8,1,303,
exactly,,7,3,304,
having,,6,2,305,
ah,,2,1,306,
probably,,8,3,307,
happen,,6,2,308,
we've,,5,1,309,
hurt,,4,1,310,
boy,,3,1,311,
both,,4,1,312,
while,,5,1,313,
dead,,4,1,314,
gotta,,5,2,315,
alone,,5,2,316,
since,,5,1,317,
excuse,,6,2,318,
start,,5,1,319,
kill,,4,1,320,
hard,,4,1,321,
you'd,,5,1,322,
today,,5,2,323,
car,,3,1,324,
ready,,5,2,325,
until,,5,2,326,
without,,7,2,327,
whatever,,8,3,328,
wants,,5,1,329,
hold,,4,1,330,
wanna,,5,2,331,
yet,,3,1,332,
seen,,4,1,333,
deal,,4,1,334,
took,,4,1,335,
once,,4,1,336,
gone,,4,1,337,
called,,6,1,338,
morning,,7,2,339,
supposed,,8,2,340,
friends,,7,1,341,
head,,4,1,342,
stuff,,5,1,343,
most,,4,1,344,
used,,4,1,345,
worry,,5,2,346,
second,,6,2,347,
part,,4,1,348,
live,,4,1,349,
truth,,5,1,350,
school,,6,1,351,
face,,4,1,352,
forget,,6,2,353,
TRUE,,4,1,354,
business,,8,2,355,
each,,4,1,356,
cause,,5,1,357,
soon,,4,1,358,
knows,,5,1,359,
few,,3,1,360,
telling,,7,2,361,
wife,,4,1,362,
who's,,5,1,363,
use,,3,1,364,
chance,,6,1,365,
run,,3,1,366,
move,,4,1,367,
anyone,,6,3,368,
person,,6,2,369,
bye,,3,1,370,
j.,,2,2,371,
somebody,,8,3,372,
dr. orædr.,,10,2,373,
heart,,5,1,374,
such,,4,1,375,
miss,,4,1,376,
married,,7,2,377,
point,,5,1,378,
later,,5,2,379,
making,,6,2,380,
meet,,4,1,381,
anyway,,6,3,382,
many,,4,2,383,
phone,,5,1,384,
reason,,6,2,385,
damn,,4,1,386,
lost,,4,1,387,
looks,,5,1,388,
bring,,5,1,389,
case,,4,1,390,
turn,,4,1,391,
wish,,4,1,392,
tomorrow,,8,3,393,
kids,,4,1,394,
trust,,5,1,395,
check,,5,1,396,
change,,6,1,397,
end,,3,1,398,
late,,4,1,399,
anymore,,7,3,400,
