word_length,word_syllables,word_usage_rank,word_level
2,1,25,0
2,1,3,0
2,1,9,0
3,1,6,0
1,1,5,0
2,1,13,0
4,1,7,0
4,1,19,0
1,1,2,0
2,1,8,0
3,1,17,0
3,1,23,0
2,1,26,0
4,1,31,0
2,1,37,0
2,1,71,0
3,1,1,0
2,1,24,0
2,1,59,0
4,1,14,0
3,1,33,0
3,1,90,0
2,1,132,0
4,1,83,0
4,1,69,0
2,1,29,0
3,1,99,0
3,1,49,0
3,1,50,0
2,1,92,0
2,1,102,0
4,1,76,0
2,1,20,0
3,1,63,0
3,1,34,0
5,1,72,0
5,1,62,0
5,1,238,0
4,1,11,0
4,1,2034,1
6,3,6649,1
8,2,2832,1
4,1,2434,1
5,1,580,1
5,2,604,1
7,3,3159,1
3,1,2922,1
5,2,8193,1
5,2,2965,1
4,1,5485,1
5,1,2978,1
4,1,1474,1
4,1,1264,1
7,2,1196,1
7,2,13141,1
8,3,10382,1
6,2,600,1
3,1,1272,1
5,1,18712,1
4,1,2304,1
6,2,3125,1
6,3,5182,1
6,1,1844,1
5,1,584,1
4,1,1338,1
6,2,6591,1
4,1,3658,1
5,2,2032,1
6,2,5805,1
7,2,1563,1
4,1,5851,1
4,1,1432,1
7,2,14866,1
3,1,2236,1
5,2,5510,1
9,3,1951,1
4,1,3653,1
5,1,8710,1
14,5,30355,1
10,5,5018,1
8,4,6319,1
9,2,4701,1
7,2,9411,1
8,3,15936,1
4,1,2499,1
8,3,20341,1
8,3,4508,1
8,3,4597,1
11,4,8810,1
10,3,22433,1
7,2,18619,1
9,2,5869,1
8,4,3116,1
10,5,8819,1
7,3,35807,1
9,3,16934,1
5,2,3968,1
10,4,18653,1
7,2,11677,1
8,3,6400,1
5,2,6316,1
12,5,12832,1
10,4,32008,1
9,4,4631,1
8,4,10177,1
12,4,11673,1
8,2,1445,1
7,2,40735,1
7,2,28548,1
4,1,32402,1
11,4,16852,1
7,2,5045,1
11,5,13540,1
7,2,11245,1
5,2,6627,1
9,3,6435,1
6,2,3311,1
11,5,9727,1
10,4,37928,1
8,3,35197,1
8,3,8315,1
8,2,2148,1
9,3,33144,1
13,6,30747,1
8,3,26178,1
6,2,10794,1
10,4,17998,1
11,4,40580,1
10,3,34470,1
13,5,5886,1
6,2,18210,1
8,4,18885,1
9,3,35854,1
9,3,20534,1
7,2,2280,1
6,2,10937,1
9,3,2894,1
7,2,9842,1
12,2,7887,1
10,4,26997,1
9,3,13547,1
8,3,11343,1
11,4,7975,1
12,5,6617,1
11,4,3211,1
9,4,14276,1
6,2,5290,1
10,2,20301,1
10,3,3757,1
6,2,8058,1
10,4,10714,1
10,3,14302,1
9,3,30323,1
11,3,10303,1
13,5,7700,1
11,4,33540,1
8,2,8924,1
9,5,5358,1
7,2,3184,1
14,5,27481,1
6,3,38310,1
4,1,27926,1
7,1,38068,1
6,2,9657,1
9,4,35599,1
10,3,38029,1
8,3,22747,1
8,2,40718,1
9,3,20015,1
7,3,24940,1
6,2,31730,1
6,2,37805,1
9,3,35353,1
9,3,22661,1
9,4,40428,1
7,3,33313,1
7,2,30006,1
9,4,40000,1
11,4,27608,1
10,4,27607,1
9,4,28720,1
8,3,33057,1
16,6,39981,1
9,4,19036,1
6,2,22512,1
9,2,39694,1
11,4,21331,1
10,4,29824,1
8,3,24676,1
7,2,19855,1
7,3,27475,1
6,3,23123,1
9,4,18968,1
7,2,29705,1
6,2,27423,1
6,3,24618,1
7,3,16788,1
6,3,20262,1
6,2,36755,1
11,4,39336,1
5,2,23798,1
